,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
43,388575,-79800,7230,31.26,1.70,-,3075,1.65,1.70,225,12300.00,1050,1103.15,1126.05,75,431.70,1097.10,36.36,49,-1425,46950
44,22950,225,379,32.04,1.45,0.15,1275,1.45,1.75,300,12350.00,4950,1146.15,1194.90,4950,-,-,-,-,-,-
45,366375,-86025,10924,33.20,1.35,0.25,8700,1.25,1.35,150,12400.00,75,1196.55,1224.30,75,458.55,1222.40,55.93,20,-750,2625
46,6600,1500,141,34.34,1.50,0.25,750,1.25,1.65,75,12450.00,4950,1245.00,1294.70,4950,-,-,-,-,-,-
47,576675,-69375,22274,35.33,1.20,0.10,4875,1.15,1.25,1200,12500.00,75,1299.60,1319.95,750,446.85,1325.00,60.48,19,75,2025
48,-,-,-,-,-,-,900,0.55,1.40,1500,12550.00,4950,1343.00,1396.30,4950,-,-,-,-,-,-
49,56775,14775,1404,36.72,1.05,0.15,1350,1.00,1.15,1575,12600.00,75,1396.25,1431.30,150,356.25,1323.10,-,1,-,825
50,-,-,-,-,-,-,900,0.15,1.40,1500,12650.00,4950,1440.30,1497.40,4950,-,-,-,-,-,-
51,33225,3000,1321,38.28,1.00,0.10,3900,1.00,1.05,2175,12700.00,75,1496.20,1541.20,150,-,-,-,-,-,375
52,5325,4650,67,41.52,1.60,-0.30,900,0.55,1.80,1800,12750.00,4950,1538.70,1599.95,4950,-,-,-,-,-,-
53,16200,4950,126,41.02,1.15,0.65,975,0.80,1.15,4800,12800.00,4950,1587.75,1641.30,150,-,-,-,-,-,-
54,9975,9675,167,40.45,1.30,-0.70,900,0.35,1.30,1275,12850.00,75,1645.55,1701.45,75,-,-,-,-,-,75
55,4950,4950,66,41.47,0.80,-66.75,300,0.45,1.00,4950,12900.00,4950,1684.90,1741.15,150,-,-,-,-,-,-
56,24750,24750,331,43.26,0.90,-57.45,900,0.25,0.90,4875,12950.00,4950,1733.80,1804.05,750,-,-,-,-,-,-
57,78000,64875,7309,43.48,0.65,0.10,7950,0.60,0.65,825,13000.00,4950,1782.55,1840.80,150,-,-,-,-,-,75
58,9825,4950,198,45.54,1.00,-0.10,600,0.15,0.90,4950,13050.00,4950,1830.90,1905.95,750,-,-,-,-,-,-
59,-,-,-,-,-,-,750,0.20,1.00,4950,13100.00,4875,1719.95,-,-,-,-,-,-,-,-
60,-,-,-,-,-,-,4950,0.10,1.00,4950,13150.00,4875,1765.30,-,-,-,-,-,-,-,-
61,-,-,-,-,-,-,750,0.15,1.00,4950,13200.00,4875,1810.35,-,-,-,-,-,-,-,-
62,-,-,-,-,-,-,4950,0.10,1.00,4950,13250.00,4875,1852.75,-,-,-,-,-,-,-,-
63,-,-,-,-,-,-,750,0.15,1.00,4950,13300.00,4875,1898.15,-,-,-,-,-,-,-,-
64,-,-,-,-,-,-,5025,0.05,1.00,4950,13350.00,4875,1862.65,-,-,-,-,-,-,-,-
65,-,-,-,-,-,-,750,0.15,1.00,4950,13400.00,4875,1936.15,-,-,-,-,-,-,-,-
66,-,-,-,-,-,-,5025,0.05,1.00,4950,13450.00,4875,1953.60,-,-,-,-,-,-,-,-
67,-,-,-,-,-,-,1500,0.20,0.80,4950,13500.00,4875,2014.20,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,5025,0.05,1.00,4950,13550.00,4875,2056.65,-,-,-,-,-,-,-,-
69,-,-,-,-,-,-,750,0.10,1.00,4950,13600.00,4875,2114.90,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,5025,0.05,1.00,4950,13650.00,4875,2126.30,-,-,-,-,-,-,-,-
71,-,-,-,-,-,-,750,0.10,1.00,4950,13700.00,4875,2219.35,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,5025,0.05,2.80,3000,13750.00,4875,2249.15,-,-,-,-,-,-,-,-
73,-,-,-,-,-,-,750,0.10,2.90,3000,13800.00,4875,2265.90,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,5025,0.05,2.80,3000,13850.00,4875,2313.25,-,-,-,-,-,-,-,-
