,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
0,-,-,-,-,-,-,7425,2393.40,3371.35,7425,6100.00,750,1.00,-,-,-,-,-,-,-,-
1,-,-,-,-,-,-,7425,2365.10,3328.10,7425,6150.00,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,7425,2308.25,3247.20,7425,6200.00,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,7425,2279.45,3170.75,7425,6250.00,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,7425,2224.05,3115.70,7425,6300.00,1500,0.20,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,7425,2179.15,3062.15,7425,6350.00,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,7425,2122.65,3024.70,7425,6400.00,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,7425,1997.10,2955.90,7425,6450.00,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,7425,1944.70,2902.55,7425,6500.00,7500,0.55,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,7425,1910.60,2864.65,7425,6550.00,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,7425,1864.30,2793.15,7425,6600.00,75,1.00,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,7425,1824.95,2741.70,7425,6650.00,-,-,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,7425,1760.30,2700.80,7425,6700.00,750,1.30,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,7425,1729.80,2645.70,7425,6750.00,-,-,-,-,-,-,-,-,-,-
14,-,-,-,-,-,-,7425,1684.70,2570.50,7425,6800.00,-,-,-,-,-,-,-,-,-,-
15,-,-,-,-,-,-,7425,1639.90,2527.25,7425,6850.00,-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,7425,1596.30,2473.65,7425,6900.00,75,0.15,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,7425,1556.10,2418.70,7425,6950.00,75,3.00,-,-,-,-,-,-,-,-
18,75,-,-,-,-,-,7425,1504.20,2339.80,7425,7000.00,75,25.00,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,7425,1457.30,2300.30,7425,7050.00,-,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,7425,1416.00,2248.60,7425,7100.00,75,1.25,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,7425,1375.15,2203.40,7425,7150.00,75,1.25,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,7425,1326.15,2142.70,7425,7200.00,75,1.25,-,-,-,-,-,-,-,-
23,-,-,-,-,-,-,7425,1282.60,2092.90,7425,7250.00,-,-,-,-,-,-,-,-,-,-
24,-,-,-,-,-,-,7425,1239.75,2037.75,7425,7300.00,750,1.00,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,7425,1202.35,1984.15,7425,7350.00,-,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,7425,1155.65,1909.00,7425,7400.00,150,10.00,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,7425,1111.00,1850.05,7425,7450.00,-,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,7425,1059.20,1800.90,7425,7500.00,75,23.00,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,7425,1014.10,1752.45,7425,7550.00,7275,0.15,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,7425,968.95,1694.05,7425,7600.00,1200,0.05,817.75,75,-,-,-,-,-,-
31,-,-,-,-,-,-,7425,922.90,1638.35,7425,7650.00,75,0.20,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,7425,878.70,1592.35,7425,7700.00,75,1.50,884.25,75,-,-,-,-,-,-
33,-,-,-,-,-,-,7425,833.60,1523.15,7425,7750.00,-,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,7425,786.40,1459.75,7425,7800.00,150,1.00,953.35,75,-,-,-,-,-,-
35,-,-,-,-,-,-,7425,748.50,1410.20,7425,7850.00,-,-,988.85,75,-,-,-,-,-,-
36,-,-,-,-,-,-,7425,641.55,1357.30,7425,7900.00,750,0.20,617.45,7425,-,-,-,-,-,-
37,-,-,-,-,-,-,7425,604.95,1310.10,7425,7950.00,-,-,541.80,7425,-,-,-,-,-,-
38,-,-,-,-,-,-,7425,532.75,1256.20,7425,8000.00,75,380.00,470.00,75,309.60,470.00,-,5,75,75
39,-,-,-,-,-,-,7425,426.05,1298.75,7425,8050.00,-,-,1138.00,75,-,-,-,-,-,-
40,-,-,-,-,-,-,7425,380.30,2150.50,7425,8100.00,75,11.00,571.35,7425,-,-,-,-,-,-
41,-,-,-,-,-,-,7425,324.10,1256.25,7425,8150.00,-,-,1216.40,75,-,-,-,-,-,-
42,-,-,-,-,-,-,7425,290.75,2041.55,7425,8200.00,-,-,608.70,7425,-,-,-,-,-,-
43,-,-,-,-,-,-,7500,3.65,1987.05,7425,8250.00,-,-,647.45,7425,-,-,-,-,-,-
44,-,-,-,-,-,-,7500,3.65,1043.25,7425,8300.00,750,1.55,647.45,7425,-,-,-,-,-,-
45,-,-,-,-,-,-,7500,3.65,1020.15,7425,8350.00,-,-,683.95,7425,-,-,-,-,-,-
46,-,-,-,-,-,-,7500,3.65,965.00,7425,8400.00,-,-,688.95,7425,-,-,-,-,-,-
47,-,-,-,-,-,-,7500,3.65,961.85,7425,8450.00,-,-,719.05,7425,-,-,-,-,-,-
48,-,-,-,-,-,-,7500,3.65,1739.30,7425,8500.00,75,200.00,725.80,7425,-,-,-,-,-,-
49,-,-,-,-,-,-,7500,3.65,1684.05,7425,8550.00,-,-,1553.80,75,-,-,-,-,-,-
50,-,-,-,-,-,-,7500,2.65,839.30,7425,8600.00,-,-,1532.10,7425,-,-,-,-,-,-
51,-,-,-,-,-,-,7500,2.65,1573.55,7425,8650.00,-,-,842.35,7425,-,-,-,-,-,-
52,-,-,-,-,-,-,75,5.00,-,-,8700.00,-,-,799.50,7425,-,-,-,-,-,-
53,-,-,-,-,-,-,7500,2.65,842.50,7425,8750.00,-,-,948.10,7425,-,-,-,-,-,-
54,-,-,-,-,-,-,7500,2.65,-,-,8800.00,-,-,845.45,7425,-,-,-,-,-,-
55,-,-,-,-,-,-,7500,2.65,683.00,7425,8850.00,-,-,880.05,7425,-,-,-,-,-,-
56,-,-,-,-,-,-,75,10.00,-,-,8900.00,7500,0.85,902.40,7425,-,-,-,-,-,-
57,-,-,-,-,-,-,7500,2.65,-,-,8950.00,-,-,932.25,7425,-,-,-,-,-,-
58,75,-,-,-,-,-,75,85.00,999.00,75,9000.00,750,15.00,-,-,-,-,-,-,-,-
59,-,-,-,-,-,-,7500,2.65,-,-,9050.00,-,-,-,-,-,-,-,-,-,-
60,-,-,-,-,-,-,7500,2.65,-,-,9100.00,-,-,-,-,-,-,-,-,-,-
61,-,-,-,-,-,-,7500,2.65,-,-,9150.00,-,-,-,-,-,-,-,-,-,-
62,-,-,-,-,-,-,7500,2.65,-,-,9200.00,-,-,-,-,-,-,-,-,-,-
63,-,-,-,-,-,-,7500,2.65,-,-,9250.00,-,-,-,-,-,-,-,-,-,-
64,-,-,-,-,-,-,7500,2.65,-,-,9300.00,7425,436.40,-,-,-,-,-,-,-,-
65,-,-,-,-,-,-,7500,2.65,-,-,9350.00,7425,466.05,-,-,-,-,-,-,-,-
66,-,-,-,-,-,-,7500,3.65,-,-,9400.00,7425,646.95,-,-,-,-,-,-,-,-
67,-,-,-,-,-,-,7500,2.65,-,-,9450.00,7425,683.10,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,75,37.10,-,-,9500.00,7425,743.30,-,-,-,-,-,-,-,-
69,-,-,-,-,-,-,7500,2.65,-,-,9550.00,7425,771.20,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,7500,2.65,-,-,9600.00,7425,817.55,-,-,-,-,-,-,-,-
