,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
0,-,-,-,-,-,-,-,-,-,-,6100.00,150,36.10,61.00,75,33.30,62.00,-,17,900,900
1,-,-,-,-,-,-,-,-,-,-,6150.00,1125,0.20,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,6200.00,75,3.00,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,6250.00,75,0.30,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,6300.00,750,3.50,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,6350.00,75,0.20,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,6400.00,75,2.20,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,6450.00,75,0.20,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,6500.00,75,15.10,90.00,75,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,6550.00,75,0.20,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,6600.00,300,10.00,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,-,-,-,6650.00,75,0.20,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,-,-,-,-,6700.00,75,5.00,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,-,-,-,6750.00,75,3.00,-,-,-,-,-,-,-,-
14,-,-,-,-,-,-,75,5.00,-,-,6800.00,150,11.00,-,-,-,-,-,-,-,-
15,-,-,-,-,-,-,-,-,-,-,6850.00,75,0.20,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,6900.00,1575,1.20,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,-,-,-,-,6950.00,300,0.50,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,675,0.10,-,-,7000.00,75,80.20,150.00,75,-,-,-,-,-,-
