,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
55,-,-,-,-,-,-,7500,1.65,668.70,7425,8850.00,75,0.05,868.15,7425,-,-,-,-,-,-
56,-,-,-,-,-,-,7500,3.10,628.50,7425,8900.00,75,0.05,882.50,7425,-,-,-,-,-,-
57,150,150,2,112.18,802.80,-757.05,75,55.00,606.35,7425,8950.00,75,0.05,906.95,7425,-,-,-,-,-,-
58,-,-,-,-,-,-,75,52.50,564.75,7425,9000.00,750,117.00,921.05,7425,-,-,-,-,-,-
59,-,-,-,-,-,-,7500,1.65,566.90,7425,9050.00,225,2.00,961.95,7425,-,-,-,-,-,-
60,-,-,-,-,-,-,375,5.00,510.75,7425,9100.00,75,0.05,979.55,7425,-,-,-,-,-,-
61,-,-,-,-,-,-,7500,1.65,509.50,7425,9150.00,75,0.05,1032.50,7425,-,-,-,-,-,-
62,-,-,-,-,-,-,7500,1.65,465.40,7425,9200.00,7425,320.75,1046.30,7425,-,-,-,-,-,-
63,-,-,-,-,-,-,7500,2.10,454.95,7425,9250.00,7425,494.20,1073.40,7425,-,-,-,-,-,-
64,-,-,-,-,-,-,7500,1.65,418.20,7425,9300.00,7425,566.25,1102.40,7425,-,-,-,-,-,-
65,-,-,-,-,-,-,7500,1.65,421.85,7425,9350.00,7425,601.00,1136.45,7425,-,-,-,-,-,-
66,-,-,-,-,-,-,7500,1.65,-,-,9400.00,7425,651.20,1161.35,7425,-,-,-,-,-,-
67,-,-,-,-,-,-,7500,1.65,368.10,7425,9450.00,7425,686.55,1217.25,7425,-,-,-,-,-,-
68,-,-,-,-,-,-,75,51.00,-,-,9500.00,7425,735.55,1228.60,7425,-,-,-,-,-,-
69,-,-,-,-,-,-,7500,1.65,-,-,9550.00,7425,780.95,1290.15,7425,-,-,-,-,-,-
70,-,-,-,-,-,-,7500,1.65,329.15,7425,9600.00,7425,817.75,1303.35,7425,-,-,-,-,-,-
71,-,-,-,-,-,-,7500,1.65,329.20,7425,9650.00,7425,922.30,1358.45,7425,-,-,-,-,-,-
72,-,-,-,-,-,-,7500,1.65,-,-,9700.00,7425,966.80,1378.95,7425,-,-,-,-,-,-
73,-,-,-,-,-,-,7500,1.65,-,-,9750.00,7425,1013.05,1434.55,7425,-,-,-,-,-,-
74,-,-,-,-,-,-,75,70.00,-,-,9800.00,7425,1059.00,1460.20,7425,1147.30,1150.00,-,2,-,-
75,-,-,-,-,-,-,7500,1.65,-,-,9850.00,7425,1096.55,1514.90,7425,-,-,-,-,-,-
76,-,-,-,-,-,-,7500,1.65,-,-,9900.00,7425,1151.95,1546.75,7425,-,-,-,-,-,-
77,-,-,-,-,-,-,7500,1.65,-,-,9950.00,7425,1181.60,1601.90,7425,-,-,-,-,-,-
78,-,-,-,-,-,-,75,21.00,-,-,10000.00,7425,1232.40,1631.45,7425,-,-,-,-,-,-
79,-,-,-,-,-,-,7500,1.65,-,-,10050.00,7425,1271.75,1686.25,7425,-,-,-,-,-,-
80,-,-,-,-,-,-,7500,1.65,-,-,10100.00,7425,1322.05,1723.70,7425,-,-,-,-,-,-
81,-,-,-,-,-,-,7500,1.65,-,-,10150.00,7425,1356.80,1778.75,7425,-,-,-,-,-,-
82,-,-,-,-,-,-,7500,1.65,-,-,10200.00,7425,1407.15,1813.65,7425,-,-,-,-,-,-
83,-,-,-,-,-,-,7500,1.65,-,-,10250.00,7425,1463.80,1868.80,7425,-,-,-,-,-,-
84,-,-,-,-,-,-,7500,1.65,-,-,10300.00,7425,1499.50,1911.95,7425,-,-,-,-,-,-
85,-,-,-,-,-,-,7500,1.65,-,-,10350.00,7425,1546.55,1967.15,7425,-,-,-,-,-,-
86,-,-,-,-,-,-,7500,1.65,-,-,10400.00,7425,1593.40,2008.70,7425,-,-,-,-,-,-
87,-,-,-,-,-,-,7500,1.65,-,-,10450.00,7425,1640.35,2063.95,7425,-,-,-,-,-,-
88,-,-,-,-,-,-,75,3.30,-,-,10500.00,7425,1688.85,2104.40,7425,-,-,-,-,-,-
89,-,-,-,-,-,-,7500,1.65,-,-,10550.00,7425,1735.35,2159.70,7425,-,-,-,-,-,-
90,-,-,-,-,-,-,7500,1.65,-,-,10600.00,7425,1781.00,2207.65,7425,-,-,-,-,-,-
91,-,-,-,-,-,-,7500,1.65,-,-,10650.00,7425,1813.35,2262.90,7425,-,-,-,-,-,-
92,-,-,-,-,-,-,7500,1.65,-,-,10700.00,7425,1853.20,2309.85,7425,-,-,-,-,-,-
93,-,-,-,-,-,-,7500,1.65,-,-,10750.00,7425,1893.70,2364.80,7425,-,-,-,-,-,-
94,-,-,-,-,-,-,7500,1.65,-,-,10800.00,7425,1944.90,2412.90,7425,-,-,-,-,-,-
95,-,-,-,-,-,-,7500,1.65,-,-,10850.00,7425,2000.15,2468.10,7425,-,-,-,-,-,-
96,-,-,-,-,-,-,7500,1.65,-,-,10900.00,7425,2054.45,2517.00,7425,-,-,-,-,-,-
97,-,-,-,-,-,-,7500,1.65,-,-,10950.00,7425,2067.55,2572.90,7425,-,-,-,-,-,-
98,2400,750,21,61.55,31.00,-9.00,75,31.00,39.90,75,11000.00,7425,2121.20,2609.60,7425,-,-,-,-,-,-
99,-,-,-,-,-,-,7500,0.15,-,-,11050.00,7425,2170.40,2664.75,7425,-,-,-,-,-,-
100,-,-,-,-,-,-,7500,0.15,-,-,11100.00,7425,2230.35,2639.10,7425,-,-,-,-,-,-
101,-,-,-,-,-,-,7500,0.15,-,-,11150.00,7425,2260.80,2694.55,7425,-,-,-,-,-,-
102,-,-,-,-,-,-,7500,0.15,-,-,11200.00,7425,2320.55,2746.95,7425,-,-,-,-,-,-
103,-,-,-,-,-,-,15000,0.15,-,-,11250.00,7425,2346.85,2899.60,7425,-,-,-,-,-,-
104,-,-,-,-,-,-,7500,0.15,-,-,11300.00,7425,2399.90,2850.95,7425,-,-,-,-,-,-
105,-,-,-,-,-,-,7500,0.15,-,-,11350.00,7425,2441.30,2904.75,7425,-,-,-,-,-,-
106,-,-,-,-,-,-,7500,0.15,-,-,11400.00,7425,2471.00,2954.00,7425,-,-,-,-,-,-
107,-,-,-,-,-,-,7500,0.15,64.65,7425,11450.00,7425,2516.10,3009.10,7425,-,-,-,-,-,-
108,-,-,-,-,-,-,75,6.25,64.65,7425,11500.00,7425,2585.55,3063.85,7425,-,-,-,-,-,-
109,-,-,-,-,-,-,7500,0.10,64.65,7425,11550.00,7425,2611.50,3160.10,7425,-,-,-,-,-,-
110,-,-,-,-,-,-,7500,0.10,64.65,7425,11600.00,7425,2670.65,3174.05,7425,-,-,-,-,-,-
111,-,-,-,-,-,-,7500,0.10,64.65,7425,11650.00,7425,2706.55,3274.45,7425,-,-,-,-,-,-
112,-,-,-,-,-,-,7500,0.10,-,-,11700.00,7425,2768.10,3329.55,7425,-,-,-,-,-,-
113,-,-,-,-,-,-,7500,0.10,86.70,7425,11750.00,7425,2778.45,3384.80,7425,-,-,-,-,-,-
114,-,-,-,-,-,-,7500,0.10,86.70,7425,11800.00,7425,2862.05,3440.55,7425,-,-,-,-,-,-
115,-,-,-,-,-,-,7500,0.10,86.70,7425,11850.00,7425,2906.60,3483.85,7425,-,-,-,-,-,-
116,-,-,-,-,-,-,7500,0.10,86.70,7425,11900.00,7425,2914.00,3536.25,7425,-,-,-,-,-,-
117,-,-,-,-,-,-,7500,0.10,86.70,7425,11950.00,7425,2961.30,3603.35,7425,-,-,-,-,-,-
118,-,-,-,-,-,-,150,2.00,86.70,7425,12000.00,7425,3028.45,3646.75,7425,-,-,-,-,-,-
119,-,-,-,-,-,-,-,-,86.70,7425,12050.00,7425,3126.55,3704.15,7425,-,-,-,-,-,-
120,-,-,-,-,-,-,-,-,86.75,7425,12100.00,7425,3122.00,3758.55,7425,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,86.70,7425,12150.00,7425,3178.55,3805.30,7425,-,-,-,-,-,-
122,-,-,-,-,-,-,-,-,86.75,7425,12200.00,7425,3279.55,3859.60,7425,-,-,-,-,-,-
123,-,-,-,-,-,-,-,-,86.75,7425,12250.00,7425,3263.00,3915.55,7425,-,-,-,-,-,-
124,-,-,-,-,-,-,-,-,86.70,7425,12300.00,7425,3312.45,3969.85,7425,-,-,-,-,-,-
125,-,-,-,-,-,-,-,-,86.70,7425,12350.00,7425,3388.85,4029.10,7425,-,-,-,-,-,-
126,-,-,-,-,-,-,-,-,86.75,7425,12400.00,7425,3432.30,4074.15,7425,-,-,-,-,-,-
127,-,-,-,-,-,-,-,-,86.75,7425,12450.00,7425,3484.50,4128.95,7425,-,-,-,-,-,-
128,-,-,-,-,-,-,900,0.10,86.75,7425,12500.00,7425,3525.40,4182.85,7425,-,-,-,-,-,-
129,-,-,-,-,-,-,-,-,-,-,12550.00,7425,3580.15,4237.95,7425,-,-,-,-,-,-
130,-,-,-,-,-,-,-,-,86.70,7425,12600.00,7425,3620.00,4294.65,7425,-,-,-,-,-,-
131,-,-,-,-,-,-,-,-,86.70,7425,12650.00,7425,3677.85,4343.10,7425,-,-,-,-,-,-
132,-,-,-,-,-,-,-,-,86.70,7425,12700.00,7425,3720.75,4397.95,7425,-,-,-,-,-,-
133,-,-,-,-,-,-,-,-,86.70,7425,12750.00,7425,3768.80,4449.25,7425,-,-,-,-,-,-
134,-,-,-,-,-,-,-,-,86.75,7425,12800.00,7425,3821.70,4508.25,7425,-,-,-,-,-,-
135,-,-,-,-,-,-,-,-,86.70,7425,12850.00,7425,3868.40,4557.90,7425,-,-,-,-,-,-
136,-,-,-,-,-,-,-,-,86.60,7425,12900.00,7425,3932.80,4617.40,7425,-,-,-,-,-,-
137,-,-,-,-,-,-,-,-,-,-,12950.00,7425,3920.05,4671.30,7425,-,-,-,-,-,-
138,-,-,-,-,-,-,75,1.10,86.75,7425,13000.00,7425,4022.10,4718.35,7425,-,-,-,-,-,-
139,-,-,-,-,-,-,-,-,86.75,7425,13050.00,7425,4018.80,4771.25,7425,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-,-,13100.00,7425,4063.95,4898.70,7425,-,-,-,-,-,-
141,-,-,-,-,-,-,-,-,-,-,13150.00,7425,4129.10,4883.00,7425,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,-,-,13200.00,7425,4166.80,5006.85,7425,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,13250.00,7425,4219.35,5064.25,7425,-,-,-,-,-,-
144,-,-,-,-,-,-,-,-,-,-,13300.00,7425,4264.50,5120.75,7425,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,-,-,13350.00,7425,4314.70,5173.90,7425,-,-,-,-,-,-
146,-,-,-,-,-,-,-,-,-,-,13400.00,7425,4362.55,5229.60,7425,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,13450.00,7425,4417.30,5284.55,7425,-,-,-,-,-,-
148,-,-,-,-,-,-,900,0.05,-,-,13500.00,7425,4451.50,5333.70,7425,-,-,-,-,-,-
149,-,-,-,-,-,-,-,-,-,-,13550.00,7425,4509.20,5394.25,7425,-,-,-,-,-,-
150,-,-,-,-,-,-,-,-,-,-,13600.00,7425,4559.10,5439.05,7425,-,-,-,-,-,-
151,-,-,-,-,-,-,-,-,-,-,13650.00,7425,4608.50,5502.95,7425,-,-,-,-,-,-
