,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
0,13800,5025,81,100.70,2642.50,112.50,150,2612.55,2669.95,75,6100.00,150,113.00,114.00,525,-7.40,113.95,98.39,5964,50925,299475
1,-,-,-,-,-,-,7425,2198.20,2895.65,7425,6150.00,150,96.00,-,-,-,-,-,-,-,75
2,-,-,-,-,-,-,7425,2270.50,3134.85,7425,6200.00,75,124.55,129.25,75,-9.20,129.00,97.40,1114,2850,28275
3,-,-,-,-,-,-,7425,2112.70,2780.85,7425,6250.00,75,50.00,-,-,-,-,-,-,-,-
4,75,75,4,-,2520.00,1011.55,225,2280.80,2715.35,75,6300.00,75,138.00,140.75,75,-7.90,140.90,99.59,686,4200,17700
5,-,-,-,-,-,-,7425,2046.20,2723.50,7425,6350.00,75,8.10,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,75,2191.45,2578.95,75,6400.00,75,141.00,159.30,75,-18.60,147.00,94.30,385,1575,6900
7,-,-,-,-,-,-,7425,1944.45,2607.00,7425,6450.00,150,22.00,-,-,-,-,-,-,-,-
8,67125,1275,247,98.84,2320.00,-0.30,75,2238.90,2330.90,75,6500.00,7425,163.00,164.85,75,-14.05,163.00,95.05,9188,7575,405525
9,-,-,-,-,-,-,7425,1854.40,2521.40,7425,6550.00,75,30.05,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,450,1902.20,2727.65,7425,6600.00,75,172.10,185.00,75,-9.20,184.20,94.09,2559,7950,15375
11,-,-,-,-,-,-,7425,1814.65,2421.65,7425,6650.00,75,31.00,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,75,1955.20,2206.25,75,6700.00,75,184.00,198.95,75,-19.75,184.10,92.94,1150,-2700,9900
13,75,-,-,-,-,-,75,1813.70,2115.60,75,6750.00,225,206.00,213.35,150,-13.05,204.95,89.46,409,-2775,86775
14,3000,-75,19,115.50,2029.70,-315.80,75,2001.00,2193.75,75,6800.00,75,206.00,206.50,75,-13.50,206.65,93.24,2473,-30000,81000
15,-,-,-,-,-,-,7425,1530.20,2233.05,7425,6850.00,75,31.00,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,75,1866.75,2008.90,75,6900.00,75,220.00,230.00,75,-12.10,229.95,90.94,1668,-7350,18975
17,-,-,-,-,-,-,7425,1554.80,2149.50,7425,6950.00,75,100.00,239.95,150,-81.05,287.05,87.06,17,-225,3600
18,670125,19950,2436,77.94,1883.10,5.60,75,1881.35,1892.00,300,7000.00,750,240.00,243.00,1125,-18.00,240.05,89.96,26234,-9600,1608975
19,-,-,-,-,-,-,7425,1464.75,2105.45,7425,7050.00,150,60.05,367.10,150,-29.10,270.90,91.16,5,150,375
